,Company Name,Industry,Symbol,Series,ISIN Code
0,Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
1,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
2,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
3,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
4,Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
5,Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
6,Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011
7,Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
8,Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
9,Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
10,Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
11,Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
12,Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
13,Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021
14,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021
15,HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
16,HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034
17,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014
18,Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
19,Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
20,Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
21,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036
22,ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
23,ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
24,Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010
25,IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
26,Infosys Ltd.,IT,INFY,EQ,INE009A01021
27,JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038
28,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
29,Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030
30,Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026
31,Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
32,NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
33,Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016
34,Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029
35,Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
36,Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018
37,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016
38,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
39,State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
40,Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
41,Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
42,Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025
43,Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
44,Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
45,Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
46,Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
47,UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036
48,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
49,Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
